"","Theme","Category","Source","Valence_mean_men","Valence_SD_men","Valence_N_men","Arousal_mean_men","Arousal_SD_men","Arousal_N_men","Valence_mean_women","Valence_SD_women","Valence_N_women","Arousal_mean_women","Arousal_SD_women","Arousal_N_women"
"I628","Pigeon 3","1","Pixabay","4.55555555555556","1.0125475422184","45","4.69642857142857","1.11060414119593","56","2.71428571428571","1.48604620834392","49","2.55769230769231","1.55189272848479","52"
"I629","Pigeon 4","1","Pixabay","4.89655172413793","0.765246323659362","58","5.41860465116279","1.13876621078911","43","3.08163265306122","1.46964755828676","49","3.33962264150943","1.58045023072073","53"
"I630","Pigeon 5","1","Pixabay","4.50877192982456","1.22653412708831","57","4.54901960784314","1.28551507949454","51","2.44897959183673","1.60806851649471","49","2.56363636363636","1.44995065514551","55"
"I631","Pigeon 6","1","Flickr/internets_dairy","2.40350877192982","1.20800380088698","57","2.23529411764706","0.971354421292612","51","3.40816326530612","1.91396585813918","49","4.18181818181818","2.04659526740198","55"
"I632","Pinecone 1","2","Pixabay","4.53333333333333","0.894427190999916","45","4.71428571428571","0.867897893330058","56","1.95918367346939","1.38382296064004","49","2.17307692307692","1.4378790732398","52"
"I633","Pinecone 2","2","Pixabay","4.37777777777778","1.02887601711084","45","4.46428571428571","0.933503385868831","56","1.97959183673469","1.36152175766627","49","2.26923076923077","1.42959454851798","52"
"I634","Pinecone 3","2","Pixabay","5.28070175438596","1.08157269693113","57","5.11764705882353","1.07045894500498","51","2.24489795918367","1.49346649673528","49","2.58181818181818","1.57163407637836","55"
"I635","Pinecone 4","2","Pixabay","4.51111111111111","0.968180632616526","45","4.58928571428571","0.949196515993409","56","2.44897959183673","1.51466751700656","49","2.25","1.4535284992181","52"
"I636","Plane crash 1","2","Pixabay","2.86666666666667","1.42382327810467","45","2.41071428571429","1.20267558860591","56","4.16326530612245","1.86354208850948","49","3.86538461538462","1.54702556037855","52"
"I637","Plane crash 2","4","Pixabay","3.06666666666667","1.32115651815163","45","2.64285714285714","1.03447081647085","56","3.85714285714286","1.75594229214212","49","3.88461538461538","1.62883148484832","52"
"I638","Plane crash 3","4","Pixabay","2.65909090909091","0.963114661921651","44","1.91379310344828","0.996211820613744","58","3.97872340425532","1.71298571914816","47","4.30769230769231","1.92545855540106","52"
"I639","Plane crash 4","2","Pixabay","2.25862068965517","1.11701897811056","58","1.76744186046512","0.868419727965841","43","4.26530612244898","1.97669242047671","49","3.94339622641509","1.88531872779382","53"
